dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.3269635396147216,6.633718201942368
bbh,EMBED (RR),1,0.3248528362148338,6.7134052569498905
bbh,EMBED (RR),2,0.3277271500800127,6.6590484795601865
bbh,EMBED (RR),3,0.3231639126200735,6.401253679924307
bbh,EMBED (RR),4,0.3250150577981531,6.671234000124629
bbh,EMBED (RR),5,0.32278048743804294,6.505677255575713
bbh,EMBED (RR),6,0.3260716785803253,6.55101514278222
bbh,EMBED (RR),7,0.3271495825438588,6.613525930554649
bbh,EMBED (RR),8,0.32471173017481225,6.386024963936302
bbh,EMBED (RR),9,0.3252648756735855,6.4174506709773755
bbh,LESS (RR),0,0.31631502725275945,6.718727714444906
bbh,LESS (RR),1,0.3217228946770415,6.442395696157026
bbh,LESS (RR),2,0.3245309549441308,6.554382375007656
bbh,LESS (RR),3,0.3212338130875134,6.725284997594098
bbh,LESS (RR),4,0.3268370573167448,6.589476330436662
bbh,LESS (RR),5,0.3229687632417973,6.617484931534949
bbh,LESS (RR),6,0.33066668536192106,6.558526155842814
bbh,LESS (RR),7,0.3305934337830102,6.773913191515003
bbh,LESS (RR),8,0.3319067251811057,6.4243895277378655
bbh,LESS (RR),9,0.33766322794519826,7.031540604665557
bbh,RDS+ (RR),0,0.32807586521462156,6.452157991737324
bbh,RDS+ (RR),1,0.3380830244241673,6.513746604000692
bbh,RDS+ (RR),2,0.3256306906265241,6.391093256918081
bbh,RDS+ (RR),3,0.3330262799137904,6.621914127733168
bbh,RDS+ (RR),4,0.3302214159917684,6.7956385672266375
bbh,RDS+ (RR),5,0.3308685829426036,6.879046866438243
bbh,RDS+ (RR),6,0.32761132114647346,6.958957388999367
bbh,RDS+ (RR),7,0.3217327941071104,6.3868535258421755
bbh,RDS+ (RR),8,0.3205233195129736,6.454003704370505
bbh,RDS+ (RR),9,0.3242901668964345,6.546011258738873
codex,EMBED (RR),0,0.8863180577754974,0.9235623770871678
codex,EMBED (RR),1,0.8651516661047935,0.8927606037138281
codex,EMBED (RR),2,0.8566754087805748,0.8880803830720283
codex,EMBED (RR),3,0.8610176593065262,0.8881242251073992
codex,EMBED (RR),4,0.8650760129094124,0.8942649607118722
codex,EMBED (RR),5,0.8610845059156418,0.8907073461324782
codex,EMBED (RR),6,0.8598623834550381,0.8837130687929489
codex,EMBED (RR),7,0.8628684543073177,0.8911575908596451
codex,EMBED (RR),8,0.8468431755900383,0.87663683325455
codex,EMBED (RR),9,0.8614271730184555,0.8862956149151197
codex,LESS (RR),0,0.7679523527622223,0.817321705153665
codex,LESS (RR),1,0.8583677634596825,0.8863661131141959
codex,LESS (RR),2,0.8525775894522667,0.8851751134403654
codex,LESS (RR),3,0.8508236445486546,0.8874858901710123
codex,LESS (RR),4,0.8591855652630329,0.890254533572777
codex,LESS (RR),5,0.8577934876084328,0.8872029545742113
codex,LESS (RR),6,0.8730121403932571,0.8958156501521936
codex,LESS (RR),7,0.8624084182083607,0.8894150814897305
codex,LESS (RR),8,0.885680764913559,0.9087266101426369
codex,LESS (RR),9,0.8853646479547024,0.9109432700316649
codex,RDS+ (RR),0,0.8778175488114357,0.911698605261139
codex,RDS+ (RR),1,0.8565207459032536,0.8821640219035987
codex,RDS+ (RR),2,0.8673788905143738,0.8935874450851131
codex,RDS+ (RR),3,0.8684030696749687,0.8983779549598694
codex,RDS+ (RR),4,0.8695157654583454,0.8962354519077249
codex,RDS+ (RR),5,0.8702322170138359,0.8965901093104401
codex,RDS+ (RR),6,0.8746934272348881,0.9012416138036831
codex,RDS+ (RR),7,0.8661314025521278,0.8924061364016017
codex,RDS+ (RR),8,0.8553311005234718,0.8878232587028194
codex,RDS+ (RR),9,0.8449992574751377,0.8738924606224975
gsm8k,EMBED (RR),0,0.7706408128142357,7.629478869065812
gsm8k,EMBED (RR),1,0.7849499881267548,6.962823381380568
gsm8k,EMBED (RR),2,0.7719210833311081,6.895427635169734
gsm8k,EMBED (RR),3,0.7832845821976662,6.525156739446771
gsm8k,EMBED (RR),4,0.7799681127071381,6.42844804152112
gsm8k,EMBED (RR),5,0.7916886135935783,6.668406641600799
gsm8k,EMBED (RR),6,0.837418831884861,6.1969803202052836
gsm8k,EMBED (RR),7,0.8451151177287102,6.508291137498649
gsm8k,EMBED (RR),8,0.787653386592865,6.295819792808955
gsm8k,EMBED (RR),9,0.7909722104668617,6.186008639368168
gsm8k,LESS (RR),0,0.7346525192260742,7.320817114639861
gsm8k,LESS (RR),1,0.7685103043913841,6.873899516054317
gsm8k,LESS (RR),2,0.7487560510635376,7.040500940745124
gsm8k,LESS (RR),3,0.7981928437948227,6.992580793950483
gsm8k,LESS (RR),4,0.7507219910621643,7.142910022641602
gsm8k,LESS (RR),5,0.769815094769001,6.760872836362421
gsm8k,LESS (RR),6,0.813489742577076,6.5875881538868315
gsm8k,LESS (RR),7,0.7889228314161301,6.296448242131103
gsm8k,LESS (RR),8,0.7910646945238113,6.760549365434798
gsm8k,LESS (RR),9,0.7872574776411057,6.791425561254182
gsm8k,RDS+ (RR),0,0.7291004583239555,6.604311460975086
gsm8k,RDS+ (RR),1,0.766085110604763,6.892907491500311
gsm8k,RDS+ (RR),2,0.789049543440342,6.904228766457975
gsm8k,RDS+ (RR),3,0.7912660017609596,6.583660925401712
gsm8k,RDS+ (RR),4,0.7945300862193108,6.621146453339733
gsm8k,RDS+ (RR),5,0.7899932414293289,6.6758587962303135
gsm8k,RDS+ (RR),6,0.7624929249286652,6.654494448626376
gsm8k,RDS+ (RR),7,0.7752333283424377,6.7318287875455285
gsm8k,RDS+ (RR),8,0.7928515374660492,6.324340060590523
gsm8k,RDS+ (RR),9,0.8868837878108025,6.4860675640409875
mmlu_pro,EMBED (RR),0,1.768723485299519,3.462340226565349
mmlu_pro,EMBED (RR),1,1.776469224691391,3.36052457050995
mmlu_pro,EMBED (RR),2,1.7816122787339346,3.958808570020297
mmlu_pro,EMBED (RR),3,1.7687860931668962,3.54941497981905
mmlu_pro,EMBED (RR),4,1.7653662954057967,3.416814286509489
mmlu_pro,EMBED (RR),5,1.772848791735513,3.6833900037479212
mmlu_pro,EMBED (RR),6,1.7641673403126852,3.6445345725923617
mmlu_pro,EMBED (RR),7,1.774599392073495,3.5918709261719375
mmlu_pro,EMBED (RR),8,1.7716296545096806,3.633064255098555
mmlu_pro,EMBED (RR),9,1.7606490671634674,3.4216379981111498
mmlu_pro,LESS (RR),0,1.6950313363756453,3.6855475588880005
mmlu_pro,LESS (RR),1,1.7409288491521562,3.677683201677939
mmlu_pro,LESS (RR),2,1.756525900534221,4.0211023290819945
mmlu_pro,LESS (RR),3,1.7830450407096319,4.0423915339831975
mmlu_pro,LESS (RR),4,1.783105457680566,3.7003421917300114
mmlu_pro,LESS (RR),5,1.774809399672917,3.7785137252525445
mmlu_pro,LESS (RR),6,1.7902282016617912,3.34561085091666
mmlu_pro,LESS (RR),7,1.7873776001589639,3.595300457390778
mmlu_pro,LESS (RR),8,1.8034413201468331,3.610050638394549
mmlu_pro,LESS (RR),9,1.7914080551692417,2.9265892534378044
mmlu_pro,RDS+ (RR),0,1.7718810881887164,2.9001279134065547
mmlu_pro,RDS+ (RR),1,1.7714898450034005,3.2379720679959876
mmlu_pro,RDS+ (RR),2,1.7632818034717015,3.5067779578744096
mmlu_pro,RDS+ (RR),3,1.7805376333849772,3.6842734983210708
mmlu_pro,RDS+ (RR),4,1.772186918769564,3.731097924602317
mmlu_pro,RDS+ (RR),5,1.768994175536292,3.606746063220929
mmlu_pro,RDS+ (RR),6,1.7731635281017848,3.6685103502600116
mmlu_pro,RDS+ (RR),7,1.7739149570465087,3.815587811657485
mmlu_pro,RDS+ (RR),8,1.78892867905753,4.0074190252678505
mmlu_pro,RDS+ (RR),9,1.8005601491246905,3.6691167009994388
tydiqa,EMBED (RR),0,1.5813406904538472,1.1369289560025195
tydiqa,EMBED (RR),1,1.8021082546975877,1.2096668354853597
tydiqa,EMBED (RR),2,1.959711233774821,1.2982982703225394
tydiqa,EMBED (RR),3,1.5969366331895192,1.1496599848307516
tydiqa,EMBED (RR),4,1.7253075275156233,1.1628391457736633
tydiqa,EMBED (RR),5,1.9033446709314983,1.248088943918953
tydiqa,EMBED (RR),6,1.8194981283611722,1.2324896224660504
tydiqa,EMBED (RR),7,1.535316871272193,1.1161487516663677
tydiqa,EMBED (RR),8,1.6923715637789831,1.1424350027550398
tydiqa,EMBED (RR),9,1.8293769194020166,1.2577100068760747
tydiqa,LESS (RR),0,1.221008676621649,1.183717838348188
tydiqa,LESS (RR),1,1.6300828456878662,1.1731790338406443
tydiqa,LESS (RR),2,1.7648785776562161,1.2009270347468446
tydiqa,LESS (RR),3,1.6370947261651356,1.1690788345207068
tydiqa,LESS (RR),4,1.6857672830422719,1.1551617406725425
tydiqa,LESS (RR),5,1.7915887435277302,1.2221643617305145
tydiqa,LESS (RR),6,1.8358512189653184,1.2492579488028321
tydiqa,LESS (RR),7,1.8512549466556973,1.213927381980694
tydiqa,LESS (RR),8,1.9574398299058278,1.2658049966307143
tydiqa,LESS (RR),9,2.014723618825277,1.305953679352805
tydiqa,RDS+ (RR),0,1.7062144709957972,1.1968130518205176
tydiqa,RDS+ (RR),1,1.7087730467319489,1.1932505239479967
tydiqa,RDS+ (RR),2,1.8468246791097853,1.2139975233064033
tydiqa,RDS+ (RR),3,1.8576064374711778,1.2589654140409192
tydiqa,RDS+ (RR),4,1.9222832553916507,1.2597960267874149
tydiqa,RDS+ (RR),5,1.8671888907750447,1.2319289514600866
tydiqa,RDS+ (RR),6,1.8388960229025946,1.208003152384899
tydiqa,RDS+ (RR),7,1.762476960817973,1.1822894215393025
tydiqa,RDS+ (RR),8,1.681215786271625,1.1473708203598425
tydiqa,RDS+ (RR),9,1.6160792013009389,1.1186000450679536
